en,ru
"Okay,","Окей,"
"in order to make the, uh, curried chicken, I just fried the chicken, until it was nice and brown, you know","чтобы приготовить курицу с карри, я просто обжарила курицу, пока она не стала аппетитной и подрумяненной, понимаете"
Uh-huh.,Угу.
make sure it's nice and brown on both sides,"убедитесь, что оно хорошо подрумянилось с обеих сторон"
and then you take it out of the fat,а потом вынимаете его из жира
"and you, you let the chicken you fried kind of drain, so that a lot of the oil comes out of it","а ты, ты даешь курице, которую ты обжарил, немного стечь, чтобы из нее вытекло много масла"
Uh-huh.,Угу.
"And then you, you, uh, pour most of the, all of the oil out of the pan","А потом ты, ты, э-э, выливаешь большую часть, все масло со сковороды"
and you kind of clean it out,и ты как бы убираешь это
"and you put back maybe two tablespoons full of the oil and saute some, um, bell peppers and onions in, in that little bit of oil.","и вы добавляете еще, может быть, две столовые ложки масла и обжариваете немного, гм, болгарского перца и лука в этом небольшом количестве масла."
"Maybe one tablespoon or two tablespoons, let that brown, then put all of the chicken back in there.","Может быть, одну столовую ложку или две столовые ложки, дайте им подрумяниться, затем положите туда всю курицу."
"And then you, uh, mix flour and a cup of water, maybe, uh, one tablespoon of flour and a cup of water.","А затем вы, э-э, смешиваете муку и стакан воды, может быть, э-э, одну столовую ложку муки и стакан воды."
"Stir it real, real well.","Перемешайте это очень, очень хорошо."
Uh-huh.,Угу.
"Then you, uh, pour that in there, you know, to make the gravy.","Затем ты, э-э, наливаешь это туда, ну, знаешь, чтобы получилась подливка."
And you let it come to a boil again,И ты снова даешь ему закипеть
and then you let it simmer,а потом вы даете ему покипеть на медленном огне
"and you add, uh, about a tablespoon of, what I'm using now is Jamaican curry powder.","и вы добавляете примерно столовую ложку того, что я сейчас использую, - ямайского порошка карри."
Oh.,Ой.
"And that's going to, it's going to be really good","И это будет, это будет действительно хорошо"
"That's very spicy, too.",Это тоже очень пикантно.
"Yeah,","Да,"
"it's,","это,"
I mean these bell peppers and curry.,Я имею в виду эти болгарские перцы и карри.
"Right,","Правильно,"
"and then if you like it really hot, you can add some hot, hot peppers and hot sauce and all that kind of stuff.","а потом, если вы любите по-настоящему горячее, вы можете добавить немного острого перца, острого соуса и все такое прочее."
"Oh, that sounds really good.","О, это звучит действительно заманчиво."
Yeah.,Да.
Huh.,Хм.
"I guess it was,","Я думаю, это было,"
is this dinner time for you?,для тебя сейчас время ужина?
"Uh, well it will be in a little while,","Э-э, ну, это будет через некоторое время,"
"I'm trying to get it, get it ready early.","Я пытаюсь сделать это, подготовить пораньше."
"All done in advance,","Все сделано заранее,"
yeah.,да.
"That's um, I, uh, I'm, I'm not that great a cook","Это, эм, я, эм, я, я не настолько хорошо готовлю"
but I was single until I was thirty,"но я был холост, пока мне не исполнилось тридцать"
"so I did cook a little, you know.","так что, знаете, я все-таки немного приготовила."
Oh.,Ой.
"Uh, and I cook a little bit now.","Э-э, и сейчас я немного готовлю."
What I like to do mostly is stir fries,"Что мне больше всего нравится делать, так это жареную картошку"
"and my wife normally says, oh, Tom, why, why don't you make a stir fry tonight","и моя жена обычно говорит: о, Том, почему, почему бы тебе сегодня вечером не приготовить жаркое"
"and so we even, we just were recently married so we have a stir fry pan sort of like a big wok.","и вот мы квиты, мы совсем недавно поженились, так что у нас есть сковорода для жарки, что-то вроде большого вока."
Uh-huh.,Угу.
"And we do a lot of, um, stir fry vegetables.","И мы часто, гм, обжариваем овощи во фритюре."
"What kind of wok do you have,","Какой у вас вок,"
"is it, is it a real Chinese wok.","это, это настоящий китайский вок."
"It's, it's called a stir fry pan","Это, это называется сковорода для жарки"
"and it, and it fits right on your, uh, it fits right on your burner, whether it's gas or electric","и это, и это подходит прямо к вашей, э-э, это подходит прямо к вашей конфорке, будь то газовая или электрическая"
"so it's, it has a flatter bottom than a normal wok does.","так что дно у него более плоское, чем у обычного вока."
Uh-huh.,Угу.
I see.,Понимаю.
"And, um, normally what what we do is, um, just, you know, like two tablespoons of oil, maybe sesame oil or some other type of oil than just regular vegetable oil.","И, гм, обычно то, что мы делаем, это, гм, просто, знаете, примерно две столовые ложки масла, может быть, кунжутного масла или какого-нибудь другого вида масла, кроме обычного растительного."
"But I will use peanut, peanut oil, or things.","Но я буду использовать арахис, арахисовое масло или что-то еще."
"And then we just stir fry broccoli and carrots and, um, green peppers, and, um, maybe put in a little bit of, um garlic and ginger, uh, beforehand.","А потом мы просто обжариваем брокколи, морковь и, эм, зеленый перец, и, эм, может быть, предварительно добавим немного, эм, чеснока и имбиря."
"That gives, uh, uh, uh, spicier flavor","Это придает, э-э-э, э-э, более пикантный вкус"
"and then after the stir fry is over, just mix in, um, a little bit of, uh, sometimes chicken broth, and corn starch and soy sauce","а затем, когда обжарка закончится, просто добавьте, эм, немного, эм, иногда куриного бульона, кукурузного крахмала и соевого соуса"
Yeah.,Да.
"and that sort of makes a, uh, a glaze, that sticks to the, the vegetables,","и из этого получается, э-э, глазурь, которая прилипает к овощам,"
Uh-huh.,Угу.
"I've used,","Я использовал,"
you turn them over.,ты переворачиваешь их.
"A lot of times when we do stir fry we just put in tofu,","Часто, когда мы готовим жаркое, мы просто кладем тофу,"
"we don't put in meat, cause I guess we're, I'm not","мы не кладем мясо, потому что, я думаю, мы, я не"
Uh-huh.,Угу.
"but, uh, she likes to watch all the, how much red meat and things,","но, э-э, ей нравится наблюдать за тем, сколько красного мяса и прочего,"
"so. We'll do, a lot of times vegetarian.",так. Мы будем часто заниматься вегетарианством.
Yeah.,Да.
"But it's a real good meal because you have squash and broccoli and, uh, carrots and celery and green peppers and, um, oh, gee, mushrooms.","Но это действительно вкусное блюдо, потому что у вас есть кабачки, брокколи, морковь, сельдерей, зеленый перец и, о, боже, грибы."
"Oh that's, That sounds real good except the squash,","О, это звучит очень вкусно, за исключением кабачков,"
"It's, it's a pretty big","Это, это довольно большой"
and we put that over rice.,и мы кладем это поверх риса.
I just don't like squash.,Я просто не люблю сквош.
"Oh, you don't","О, ты не"
I never did.,Я никогда этого не делал.
My mother used to cook a whole pan full of squash,Моя мама обычно готовила целую сковороду кабачков
and she'd have squash and corn bread,и у нее были бы кабачки и кукурузный хлеб
Oh.,Ой.
"And maybe some, she'd have chicken or something.","И, может быть, немного, она бы съела курицу или что-нибудь в этом роде."
Uh-huh.,Угу.
"And I'd just be,","И я бы просто был,"
"Yeah,","Да,"
"see, we never, in fact I never had squash growing up.","видишь ли, у нас никогда, на самом деле, у меня в детстве никогда не было сквоша."
"My, my wife eats more vegetables, ate more vegetable than I did growing up.","Боже, моя жена ест больше овощей, ела больше овощей, чем я в детстве."
"I'm, I'm from Pittsburgh","Я, я из Питтсбурга"
and Pittsburgh is a very meat and potato town.,а Питтсбург - очень мясной и картофельный город.
Uh-huh.,Угу.
"Yeah,","Да,"
recipes in Pittsburgh consisted of red meat and a potato.,рецепты в Питтсбурге состояли из красного мяса и картофеля.
Uh-huh.,Угу.
Red meat and a potato.,Красное мясо и картофель.
"Oh, that sounds good.","О, звучит заманчиво."
"We, we were from North Carolina","Мы, мы были из Северной Каролины"
and we had a garden,и у нас был сад
"and my mother would, would, uh, grow the squash","и моя мама бы, э-э-э, выращивала кабачки"
"and she'd grow white potatoes and onions and cabbage and collards and all kinds of,","и она выращивала белый картофель, лук, капусту, листовую капусту и все виды,"
"Oh, she had all of those types of vegetables.","О, у нее были все эти виды овощей."
Right.,Верно.
"See, never, no vegetables in my family.","Видите ли, в моей семье никогда не было овощей."
Wow.,Вау.
"Yeah,","Да,"
it was really funny.,это было действительно забавно.
"You wouldn't believe it, we even raised chickens","Вы не поверите, мы даже разводили цыплят"
Well that was a real farm.,"Что ж, это была настоящая ферма."
You ever seen anybody kill a chicken?,"Вы когда-нибудь видели, как кто-нибудь убивает курицу?"
"No,","Нет,"
"but I, I've, I've heard stories uh,","но я, я, я слышал истории, э-э,"
I've heard stories.,Я слышал истории.
And they put the head under a tin tub and chop the head off.,И они кладут голову под жестяную ванну и отрубают ее.
Uh.,Ух.
And then you hear the chicken jumping around under the tub,"А потом вы слышите, как цыпленок прыгает под ванной"
"and finally it dies down,","и, наконец, все стихает,"
you get just a little patter,вы получаете всего лишь небольшую скороговорку
"and then it,","и тогда это,"
"Oh, this is","О, это"
"you shouldn't be talking about this right before, while you're fixing dinner.","тебе не следовало говорить об этом прямо сейчас, пока ты готовишь ужин."
Getting ready to eat chicken too.,Тоже готовлюсь съесть курицу.
"That's right,","Это верно,"
you should be careful,тебе следует быть осторожным
That's pretty funny.,Это довольно забавно.
"But my dad used to tell stories, you know, about the way they eat chickens","Но мой отец, знаете ли, часто рассказывал истории о том, как они едят цыплят"
"but I never, we never, we lived in the suburbs,","но я никогда, мы никогда, мы жили в пригороде,"
"we, we bought everything in a grocery store.","мы, мы купили все в продуктовом магазине."
Uh-huh.,Угу.
"There was no,","Там не было никакого,"
"but it was funny, you know,","но это было забавно, ты знаешь,"
"it so,","это так,"
"but when we got married, you know, a lot more vegetables, a lot more, you know, a lot of changes.","но когда мы поженились, вы знаете, гораздо больше овощей, намного больше, вы знаете, много изменений."
Well that's good.,"Что ж, это хорошо."
A lot of people are eating healthier now a days.,Сейчас многие люди питаются более здоровой пищей.
"I think so too,","Я тоже так думаю,"
Yeah.,Да.
but we just went shopping,но мы просто ходили по магазинам
"and we came back with, uh, with, uh, sweets, you know, chocolate covered peanuts","и мы вернулись с, э-э, с, э-э, сладостями, знаете, арахисом в шоколаде"
"and uh, we came back with sweets.","и, э-э, мы вернулись со сладостями."
Ugh.,Фу.
We didn't bring all the healthy food back too.,Мы тоже привезли с собой не всю здоровую пищу.
"Yeah,","Да,"
"I'm trying to learn how to cook, um, deserts without, without all of the sweets, you know, maybe use honey or something.","Я пытаюсь научиться готовить, эм, десерты без... без всяких сладостей, ну, вы знаете, может быть, использовать мед или что-то в этом роде."
"Uh-huh,","Ага,"
"well that's, that's supposed to be, um, the trend of the future, but, uh, the cut back.","ну, это, это должно быть, эм, тенденцией будущего, но, эм, сокращение."
Yeah.,Да.
"I, uh, recently was over a friends house that's Indian","Я, э-э, недавно был в доме друзей, который в индийском стиле"
"and, uh, she had brought Indian sweets into the office","и, э-э, она принесла индийские сладости в офис"
and it was really funny because they were made from yogurt and carrots.,"и это было действительно забавно, потому что они были сделаны из йогурта и моркови."
Ugh.,Фу.
"Yeah,","Да,"
that was a sweet,это было очень мило
and I was like ugh.,и я такой: тьфу.
This is a sweet.,Это сладость.
"Oh it is, it's a candy,","О, это так, это конфета,"
"I'm like ugh, you know,","Я такой, тьфу, ты знаешь,"
Indian candy is not very good.,Индийские конфеты не очень хороши.
"Uh, right.","Э-э, верно."
"But everything was, and everything,","Но все было, и все,"
"you didn't notice it at first,","сначала вы этого не заметили,"
but everything was sort of hot.,но все было как-то горячо.
Everything had a little bit of curry in it.,Во все было добавлено немного карри.
"The spice,","Пряность,"
yeah.,да.
"It was funny, even the sweets did.","Это было забавно, даже сладости подействовали."
Wow.,Вау.
When you first took a bite of them you didn't notice it,"Когда вы впервые откусили от них, вы этого не заметили"
but then after a couple of minutes you could taste it.,"но потом, через пару минут, вы почувствовали его вкус."
"You know, it had that, that after taste that, very, it was a very Indian flavor.","Вы знаете, у него был такой послевкусие, очень, очень индийский вкус."
Yeah.,Да.
"Good,","Хорошо,"
"they didn't have,","у них не было,"
"I didn't like her desserts very well,","Мне не очень понравились ее десерты,"
"they were very, yogurt and carrots and pistachios, pistachio nuts and yogurt.","они были очень вкусными: йогурт, морковь и фисташки, фисташковые орехи и йогурт."
Uh-huh.,Угу.
And it wasn't very good.,И это было не очень хорошо.
Well I might have liked some of that,"Что ж, кое-что из этого мне могло бы понравиться"
"I, I like hot stuff,","Я, я люблю горячее,"
Uh-huh.,Угу.
I really do.,Я действительно хочу.
"Yeah,","Да,"
well have we done our ten minutes.,"ну что ж, мы отработали наши десять минут."
Oh is it ten minutes.,"О, уже десять минут."
"Something like that,","Что-то вроде того,"
"I think we're,","Я думаю, что мы,"
"I don't know,","Я не знаю,"
do we get a signal.,получаем ли мы сигнал.
"No,","Нет,"
normally they just come in,обычно они просто приходят
"and they say you've overextended your, your conversation.","и они говорят, что ты слишком увлекся своим разговором."
"Oh, well this is my first one.","О, ну что ж, это мой первый снимок."
"Oh, okay","О, ладно"
"well that's,","ну, это,"
"you'll see it will normally, it will come on","вы увидите, что это будет нормально, это включится"
"and it'll say you've over extended your conversation, you now have fifteen minutes to fifteen seconds to complete it.","и это скажет, что вы слишком затянули свой разговор, теперь у вас есть от пятнадцати минут до пятнадцати секунд, чтобы завершить его."
Oh wow.,"О, вау."
"But, uh, I've been cut off twice.","Но, э-э, меня дважды отключали."
Uh-huh.,Угу.
"So I just thought,","Так что я просто подумал,"
"in fact I'm just also,","на самом деле я просто тоже,"
"I'm hearing a siren outside I think my, my neighbors car must have got bumped, you know,","Я слышу сирену снаружи, я думаю, что моя, моих соседей машина, должно быть, столкнулась, ты знаешь,"
"he has one of those alarms on his car,","у него на машине одна из таких сигнализаций,"
Goodness.,Доброта.
"one of the, the neighbor has an alarm on a car",у одного из соседей на машине установлена сигнализация
and it's going off.,и это происходит.
Uh-huh.,Угу.
"So, I was going to go out and see what they were doing.","Итак, я собирался выйти и посмотреть, что они делают."
"Well, okay.","Ну, ладно."
"Okay,","Окей,"
hey thanks so much.,"эй, большое спасибо."
"Yeah,","Да,"
"thank you,","спасибо,"
it was nice talking with you.,было приятно с тобой поговорить.
"Uh-huh,","Ага,"
and you said this was your,"и ты сказал, что это твой"
"well you'll, you'll get a couple more probably.","что ж, ты, вероятно, получишь еще парочку."
Yeah.,Да.
"I, uh, I called yesterday, I, or Friday,","Я, э-э, я звонил вчера, я, или в пятницу,"
"maybe I talked to somebody that, uh, I got them on, uh, during the day.","может быть, я поговорил с кем-то, что, э-э, я включил их, э-э, в течение дня."
It was a housewife,Это была домохозяйка
and she was home with two kids.,и она была дома с двумя детьми.
Ugh.,Фу.
"And while we're talking the kids are screaming in the background, you know, that they wanted something","И пока мы разговариваем, дети кричат на заднем плане, вы знаете, что они чего-то хотели"
and they were arguing back and forth,и они спорили взад и вперед
"and she just kept talking the whole time,","и она просто продолжала говорить все это время,"
it was pretty funny.,это было довольно забавно.
"Yeah,","Да,"
kind of hard that way.,в некотором роде это сложно.
Okay.,Хорошо.
Okay.,Хорошо.
"Hey thanks a lot,","Эй, большое спасибо,"
I'll talk to you later.,Я поговорю с тобой позже.
"All right,","В порядке,"
"thank you,","спасибо,"
bye-bye.,пока-пока.
Bye.,Пока.
"Okay,","Окей,"
"so, uh, do you own a P C?","итак, э-э, у тебя есть P C?"
"Um, no,","Эм, нет,"
not personally,не лично
"but,","но,"
But you have one at work.,Но у тебя есть один на работе.
"Yes,","Да,"
"uh-huh,","ага,"
"Yeah,","Да,"
several,несколько
"Okay,","Окей,"
"and, now because, um,","и, теперь, потому что, эм,"
"see I'm, I'm doing my, uh, Master's in Computer Science and Computer Engineering.","видите ли, я... я получаю степень магистра в области компьютерных наук и вычислительной техники."
Uh-huh.,Угу.
"And, um, and I, I don't have one,","И, эм, и у меня, у меня его нет,"
"but I have to use them, like during, especially during my undergrad.","но я должен использовать их, например, во время учебы, особенно в старших классах."
Right.,Верно.
Uh-huh.,Угу.
"You, you use, um,","Ты, ты используешь, эм,"
"like your first couple of years you use personal computers because, uh, you know, the software.","например, первые пару лет вы пользуетесь персональными компьютерами, потому что, ну, вы знаете, программное обеспечение."
"You know, like it's easier for you to go to and run a program, you know, through the disk, because, um, the grader can do it at home.","Знаете, как будто вам проще зайти и запустить программу, ну, знаете, через диск, потому что, эм, грейдер может сделать это дома."
Uh-huh.,Угу.
Uh-huh.,Угу.
Yeah.,Да.
"Then, as the, you know, as you go up higher, like in your senior level, you're doing projects which are, are so big,","Затем, по мере того, как, вы знаете, по мере того, как вы поднимаетесь выше, например, на свой старший уровень, вы занимаетесь проектами, которые настолько велики,"
"and you have to have so many people sharing the same data, that you can't use personal computers, so you have to use, you know, a main frame.","и у вас должно быть так много людей, которые делятся одними и теми же данными, что вы не можете использовать персональные компьютеры, поэтому вам приходится использовать, знаете ли, основную структуру."
Uh-huh.,Угу.
"Right,","Правильно,"
right.,верно.
"Yeah,","Да,"
"I know I, uh, I do have a, uh, you know, a computer at home,","Я знаю, что у меня, э-э, у меня действительно есть, э-э, ну, вы знаете, компьютер дома,"
but it's one that the company has loaned me.,"но это тот, который компания одолжила мне."
"Oh, okay.","О, ладно."
"And, that, that's been my situation, is that, uh, that way I can get in, access our, uh, computers that I have up here and, you know, do work from home.","И это, это была моя ситуация, такова, э-э, что таким образом я могу войти, получить доступ к нашим, э-э, компьютерам, которые у меня здесь есть, и, вы знаете, выполнять работу из дома."
"But does it have, uh, like, a disk drive?","Но есть ли у него, э-э, что-то вроде дисковода?"
Oh yeah.,О да.
"Yeah,","Да,"
"yeah,","да,"
"yeah,","да,"
"Oh, okay,","О, ладно,"
"because, uh, the ones that we use, you know, are like UNIX base systems.","потому что, э-э, те, которые мы используем, вы знаете, похожи на базовые системы UNIX."
Right.,Верно.
Uh-huh.,Угу.
"And, so they don't have a disk drive.","И, таким образом, у них нет дисковода."
Right.,Верно.
"You know, so you can't,","Ты знаешь, так что ты не можешь,"
the only way that you can do it is through a modem.,"единственный способ, которым вы можете это сделать, - это через модем."
Right.,Верно.
"And, you, you know, you just do it that way.","И ты, ты знаешь, ты просто делаешь это таким образом."
Yeah.,Да.
"But, that's, uh, that's the only way that you can get to, through to the system,","Но это, э-э, это единственный способ, которым вы можете добраться до системы,"
you can't store it anywhere.,вы не можете хранить его нигде.
Right.,Верно.
"Yeah,","Да,"
no,нет
"I, um, I, I have both, because that, that's what I use all the time is UNIX Systems. Um, versus the DOS.","У меня, эм, у меня, у меня есть и то, и другое, потому что это то, что я использую постоянно, - это системы UNIX. Хм, по сравнению с DOS."
"But then I teach DOS classes, uh, at night.","Но потом я провожу уроки DOS, э-э, по ночам."
"Oh, okay.","О, ладно."
"Uh-huh,","Ага,"
part time.,частичная занятость.
"So,","Так,"
And then you also have to do all your grading on the P C.,И тогда вы также должны выполнить все свои оценки по P C.
"Well, that, that's the really neat thing, I teach in the continuing education classes, so I don't, uh, I don't have to have any grades, no grade books, so that's great","Ну, это, это действительно здорово, я преподаю на курсах непрерывного образования, так что мне не... э-э... мне не нужно иметь никаких оценок, никаких зачетных книжек, так что это здорово"
"Oh, okay.","О, ладно."
"But, no,","Но, нет,"
"I find that I use the, the personal computer a lot though for my WordPerfect, and also for my spread sheets.","Я обнаружил, что часто использую персональный компьютер для своего WordPerfect, а также для своих электронных таблиц."
Okay.,Хорошо.
Yeah.,Да.
"Um, so I think it's extremely helpful and very useful.","Хм, так что я думаю, что это чрезвычайно полезно."
"Well, uh, for us it's, uh, uh, you know, it's like for doing like, you know, like resumes, and, presentations.","Ну, э-э, для нас это, э-э, э-э, вы знаете, это как для составления, ну, знаете, резюме и презентаций."
Uh-huh.,Угу.
"Um, um. Uh-huh.","Эм, эм. Угу."
"We use like for example, a Mackintosh, which is a lot easier for graphics, than the than you know, the I B M P C's or anything compatible with that.","Мы используем, например, Mackintosh, который намного проще для графики, чем, как вы знаете, I B M P C или что-либо совместимое с этим."
Yeah.,Да.
Right.,Верно.
"Due, due to the fact that, well, you know, I, I haven't tested the, the P S two yet.","Из-за, из-за того факта, что, ну, вы знаете, я, я еще не тестировал, P S two."
"Um, um. Uh-huh.","Эм, эм. Угу."
"but I don't know if the software is as easily, you know, like you can manage it a lot easier than, than the old one.","но я не знаю, так ли просто это программное обеспечение, ну, вы знаете, как будто вы можете управлять им намного проще, чем старым."
Right.,Верно.
"The old one you had to go pick a line, use little arrows to go onto the screen and check where you wanted to start, and where, you know, with the mouse you do it, you know, like, a hundred times faster.","В старом вам нужно было выбрать строку, использовать маленькие стрелки, чтобы перейти на экран, и проверить, с чего вы хотели начать, и где, вы знаете, с помощью мыши вы делаете это, знаете, примерно в сто раз быстрее."
Right.,Верно.
That's true.,Это правда.
That's true.,Это правда.
"And, uh, you also get, you know,","И, э-э, ты также получаешь, знаешь,"
"when you see it on the Mackintosh with, you know, the one I have,","когда ты видишь это на макинтоше с, ну, ты знаешь, тем, что у меня есть,"
"that doesn't have any color,","у этого нет никакого цвета,"
you can look at it,вы можете посмотреть на это
and that's the way it's going to print out.,и именно так это и будет напечатано.
Uh-huh.,Угу.
"And, especially if you have a laser printer, it's going to print out the same way as it's on the screen.","И, особенно если у вас есть лазерный принтер, он будет распечатываться так же, как и на экране."
"Oh, Uh-huh.","О, угу."
"And, so, with, you know, with the I B M what would happen is, uh, since the software that I had was, it was basically, you know, you only see part of the page.","И, итак, с, вы знаете, с I B M, что произошло бы, э-э, поскольку программное обеспечение, которое у меня было, было в основном, вы знаете, вы видите только часть страницы."
